Hospital Name,City,State,ZIP Code,County Name,Phone Number
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,99508,ANCHORAGE,9075632662
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,99508,ANCHORAGE,9072761131
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,99508,ANCHORAGE,9075622211
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,99559,BETHEL,9075436300
KANAKANAK HOSPITAL,DILLINGHAM,AK,99576,DILLINGHAM,9078425201
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,9074528181
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,99801,JUNEAU,9077968900
PEACEHEALTH KETCHIKAN MEDICAL CENTER,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,9072255171
PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,99615,KODIAK ISLAND,9074869592
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,99645,MATANUSKA SUSITNA,9078616000
NORTON SOUND REGIONAL HOSPITAL,NOME,AK,99762,NOME,9074433311
MANIILAQ HEALTH CENTER,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,9074423321
MT EDGECUMBE HOSPITAL,SITKA,AK,99835,SITKA,9079662411
SITKA COMMUNITY HOSPITAL,SITKA,AK,99835,SITKA,9077473241
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,99669,,9072624404
CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,99574,,9074248000
PETERSBURG MEDICAL CENTER,PETERSBURG,AK,99833,,9077724291
PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,99664,,9072245205
PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,99686,,9078352249
SAMUEL SIMMONDS MEMORIAL HOSPITAL,BARROW,AK,99723,,9078524611
SOUTH PENINSULA HOSPITAL,HOMER,AK,99603,,9072358101
WRANGELL MEDICAL CENTER,WRANGELL,AK,99929,,9078747000
PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,36067,AUTAUGA,3343614267
NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,36507,BALDWIN,2519375521
SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,36535,BALDWIN,2519493400
THOMAS HOSPITAL,FAIRHOPE,AL,36532,BALDWIN,2519282375
MEDICAL CENTER BARBOUR,EUFAULA,AL,36027,BARBOUR,3346887271
BIBB MEDICAL CENTER,CENTREVILLE,AL,35042,BIBB,2059264881
ST VINCENTS BLOUNT,ONEONTA,AL,35121,BLOUNT,2052743000
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,36089,BULLOCK,3347382140
GEORGIANA MEDICAL CENTER,GEORGIANA,AL,36033,BUTLER,3343762205
L V STABLER MEMORIAL HOSPITAL,GREENVILLE,AL,36037,BUTLER,3343822200
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,36207,CALHOUN,2562355121
RMC JACKSONVILLE,JACKSONVILLE,AL,36265,CALHOUN,2567824538
STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,36201,CALHOUN,2562358900
CHEROKEE MEDICAL CENTER,CENTRE,AL,35960,CHEROKEE,2569275531
ST VINCENT'S CHILTON,CLANTON,AL,35045,CHILTON,2054927008
CHOCTAW GENERAL HOSPITAL,BUTLER,AL,36904,CHOCTAW,2054599100
GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,36451,CLARKE,2512753191
JACKSON MEDICAL CENTER,JACKSON,AL,36545,CLARKE,2512469021
CLAY COUNTY HOSPITAL,ASHLAND,AL,36251,CLAY,2563542131
MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,36330,COFFEE,3343470584
HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,COLBERT,2563864556
SHOALS HOSPITAL,MUSCLE SHOALS,AL,35661,COLBERT,2563861601
