Hospital Name,City,State,ZIP Code,County Name,Phone Number,Mortality,P,PSI,Spending
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,99508,ANCHORAGE,9075632662,-1.087522371,-0.39,0.143449,-1382.75
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,3.374191354,-0.37,-0.047266,68.5
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,99508,ANCHORAGE,9075622211,-1.528337046,0.21,-0.01972,-583.75
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,99559,BETHEL,9075436300,2.558805329,-1.31,-0.005083,-1921.5
KANAKANAK HOSPITAL,DILLINGHAM,AK,99576,DILLINGHAM,9078425201,0.817629229,-0.83,0,1132
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,9074528181,-1.684385271,0.81,-0.006905,-1535.5
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,99801,JUNEAU,9077968900,-5.296874146,1.43,-0.022166,-1186.75
PEACEHEALTH KETCHIKAN MEDICAL CENTER,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,9072255171,0.970101929,0.93,0,-618.5
PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,99615,KODIAK ISLAND,9074869592,-1.088756571,2.73,0,89
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,99645,MATANUSKA SUSITNA,9078616000,-4.471456671,-0.01,0.090095,-1900.25
NORTON SOUND REGIONAL HOSPITAL,NOME,AK,99762,NOME,9074433311,2.464053329,0.01,0,-930.75
MANIILAQ HEALTH CENTER,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,9074423321,0.817629229,-0.83,0,1132
MT EDGECUMBE HOSPITAL,SITKA,AK,99835,SITKA,9079662411,0.817629229,-0.83,0,1132
SITKA COMMUNITY HOSPITAL,SITKA,AK,99835,SITKA,9077473241,0.817629229,2.39,0,1132
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,99669,,9072624404,-5.008969096,-0.53,0.011045,-591.75
CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,99574,,9074248000,0.817629229,-0.83,0,1132
PETERSBURG MEDICAL CENTER,PETERSBURG,AK,99833,,9077724291,0.817629229,-0.83,0,1132
PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,99664,,9072245205,0.817629229,-0.83,0,1132
