,State,Hospital Name,1,2,Average1,Average2,Difference1,Difference2,Rating
0,AK,ALASKA NATIVE MEDICAL CENTER,14.141484,6.3116786,13.94080259,6.270444386,0.200681409,0.041234214,-1.0875223713
1,AK,ALASKA REGIONAL HOSPITAL,13.921565,5.33222305,13.94080259,6.270444386,-0.019237591,-0.938221336,3.3741913537
2,AK,BARTLETT REGIONAL HOSPITAL,15.128675,6.18869405,13.94080259,6.270444386,1.187872409,-0.081750336,-5.2968741463
3,AK,CENTRAL PENINSULA GENERAL HOSPITAL,14.665763,6.72806015,13.94080259,6.270444386,0.724960409,0.457615764,-5.0089690963
4,AK,CORDOVA COMMUNITY MEDICAL CENTER,13.748739,6.29475,13.94080259,6.270444386,-0.192063591,0.024305614,0.8176292287
5,AK,FAIRBANKS MEMORIAL HOSPITAL,14.238244,6.352276,13.94080259,6.270444386,0.297441409,0.081831614,-1.6843852713
6,AK,KANAKANAK HOSPITAL,13.748739,6.29475,13.94080259,6.270444386,-0.192063591,0.024305614,0.8176292287
7,AK,MANIILAQ HEALTH CENTER,13.748739,6.29475,13.94080259,6.270444386,-0.192063591,0.024305614,0.8176292287
8,AK,MAT-SU REGIONAL MEDICAL CENTER,14.651851,6.593167,13.94080259,6.270444386,0.711048409,0.322722614,-4.4714566713
9,AK,MT EDGECUMBE HOSPITAL,13.748739,6.29475,13.94080259,6.270444386,-0.192063591,0.024305614,0.8176292287
10,AK,NORTON SOUND REGIONAL HOSPITAL,13.398436,6.29475,13.94080259,6.270444386,-0.542366591,0.024305614,2.4640533287
11,AK,PEACEHEALTH KETCHIKAN MEDICAL CENTER,13.716298,6.29475,13.94080259,6.270444386,-0.224504591,0.024305614,0.9701019287
12,AK,PETERSBURG MEDICAL CENTER,13.748739,6.29475,13.94080259,6.270444386,-0.192063591,0.024305614,0.8176292287
13,AK,PROVIDENCE ALASKA MEDICAL CENTER,14.450674,6.02242765,13.94080259,6.270444386,0.509871409,-0.248016736,-1.5283370463
14,AK,PROVIDENCE KODIAK ISLAND MEDICAL CTR,14.154353,6.29475,13.94080259,6.270444386,0.213550409,0.024305614,-1.0887565713
15,AK,PROVIDENCE SEWARD HOSPITAL,13.748739,6.29475,13.94080259,6.270444386,-0.192063591,0.024305614,0.8176292287
16,AK,PROVIDENCE VALDEZ MEDICAL CENTER,13.748739,6.29475,13.94080259,6.270444386,-0.192063591,0.024305614,0.8176292287
17,AK,SAMUEL SIMMONDS MEMORIAL HOSPITAL,13.748739,6.29475,13.94080259,6.270444386,-0.192063591,0.024305614,0.8176292287
18,AK,SITKA COMMUNITY HOSPITAL,13.748739,6.29475,13.94080259,6.270444386,-0.192063591,0.024305614,0.8176292287
19,AK,SOUTH PENINSULA HOSPITAL,13.364648,6.29475,13.94080259,6.270444386,-0.576154591,0.024305614,2.6228569287
20,AK,WRANGELL MEDICAL CENTER,13.748739,6.29475,13.94080259,6.270444386,-0.192063591,0.024305614,0.8176292287
21,AK,YUKON KUSKOKWIM DELTA REG HOSPITAL,13.378276,6.29475,13.94080259,6.270444386,-0.562526591,0.024305614,2.5588053287
22,AL,ANDALUSIA REGIONAL HOSPITAL,12.537463,6.10449315,14.07270076,6.466826507,-1.535237758,-0.362333357,8.4837842121
23,AL,ATHENS LIMESTONE HOSPITAL,13.99555,6.4033305,14.07270076,6.466826507,-0.077150758,-0.063496007,0.5848445871
24,AL,ATMORE COMMUNITY HOSPITAL,13.284917,6.23191135,14.07270076,6.466826507,-0.787783758,-0.234915157,4.5247867121
25,AL,BAPTIST MEDICAL CENTER EAST,12.156852,5.8955218,14.07270076,6.466826507,-1.915848758,-0.571304707,11.0040556371
26,AL,BAPTIST MEDICAL CENTER SOUTH,13.924011,7.0841806,14.07270076,6.466826507,-0.148689758,0.617354093,-1.4618974629
27,AL,BIBB MEDICAL CENTER,14.379472,6.29475,14.07270076,6.466826507,0.306771242,-0.172076507,-0.8395570629
28,AL,BROOKWOOD BAPTIST MEDICAL CENTER,13.800948,6.48725,14.07270076,6.466826507,-0.271752758,0.020423493,1.2057557371
29,AL,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,13.577862,6.2556823,14.07270076,6.466826507,-0.494838758,-0.211144207,3.0647468871
30,AL,BULLOCK COUNTY HOSPITAL,13.900549,6.29475,14.07270076,6.466826507,-0.172151758,-0.172076507,1.4113810371
31,AL,CALLAHAN EYE HOSPITAL,13.748739,6.23555205,14.07270076,6.466826507,-0.323961758,-0.231274457,2.3320808621
32,AL,CHEROKEE MEDICAL CENTER,14.451511,6.29475,14.07270076,6.466826507,0.378810242,-0.172076507,-1.1781403629
