State,Hospital Name,Rankings,Average,Difference
AK,ALASKA NATIVE MEDICAL CENTER,41.4,41.79,-0.39
AK,ALASKA REGIONAL HOSPITAL,41.42,41.79,-0.37
AK,BARTLETT REGIONAL HOSPITAL,43.22,41.79,1.43
AK,CENTRAL PENINSULA GENERAL HOSPITAL,41.26,41.79,-0.53
AK,CORDOVA COMMUNITY MEDICAL CENTER,40.96,41.79,-0.83
AK,FAIRBANKS MEMORIAL HOSPITAL,42.6,41.79,0.81
AK,KANAKANAK HOSPITAL,40.96,41.79,-0.83
AK,MANIILAQ HEALTH CENTER,40.96,41.79,-0.83
AK,MAT-SU REGIONAL MEDICAL CENTER,41.78,41.79,-0.01
AK,MT EDGECUMBE HOSPITAL,40.96,41.79,-0.83
AK,NORTON SOUND REGIONAL HOSPITAL,41.8,41.79,0.01
AK,PEACEHEALTH KETCHIKAN MEDICAL CENTER,42.72,41.79,0.93
AK,PETERSBURG MEDICAL CENTER,40.96,41.79,-0.83
AK,PROVIDENCE ALASKA MEDICAL CENTER,42,41.79,0.21
AK,PROVIDENCE KODIAK ISLAND MEDICAL CTR,44.52,41.79,2.73
AK,PROVIDENCE SEWARD HOSPITAL,40.96,41.79,-0.83
AK,PROVIDENCE VALDEZ MEDICAL CENTER,40.96,41.79,-0.83
AK,SAMUEL SIMMONDS MEMORIAL HOSPITAL,40.96,41.79,-0.83
AK,SITKA COMMUNITY HOSPITAL,44.18,41.79,2.39
AK,SOUTH PENINSULA HOSPITAL,43.36,41.79,1.57
AK,WRANGELL MEDICAL CENTER,40.96,41.79,-0.83
AK,YUKON KUSKOKWIM DELTA REG HOSPITAL,40.48,41.79,-1.31
AL,ANDALUSIA REGIONAL HOSPITAL,41.66,42.62087912,-0.960879121
AL,ATHENS LIMESTONE HOSPITAL,42.4,42.62087912,-0.220879121
AL,ATMORE COMMUNITY HOSPITAL,43.2,42.62087912,0.579120879
AL,BAPTIST MEDICAL CENTER EAST,42.7,42.62087912,0.079120879
AL,BAPTIST MEDICAL CENTER SOUTH,41.74,42.62087912,-0.880879121
AL,BIBB MEDICAL CENTER,43.1,42.62087912,0.479120879
AL,BROOKWOOD BAPTIST MEDICAL CENTER,41.08,42.62087912,-1.540879121
AL,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,41.86,42.62087912,-0.760879121
AL,BULLOCK COUNTY HOSPITAL,43.56,42.62087912,0.939120879
AL,CALLAHAN EYE HOSPITAL,40.96,42.62087912,-1.660879121
