State,Hospital Name,PSI_90_SAFETY,State Average,Difference
AK,ALASKA NATIVE MEDICAL CENTER,1.146365,1.002916,0.143449
AK,ALASKA REGIONAL HOSPITAL,0.95565,1.002916,-0.047266
AK,BARTLETT REGIONAL HOSPITAL,0.98075,1.002916,-0.022166
AK,CENTRAL PENINSULA GENERAL HOSPITAL,1.013961,1.002916,0.011045
AK,CORDOVA COMMUNITY MEDICAL CENTER,1.002916,1.002916,0
AK,FAIRBANKS MEMORIAL HOSPITAL,0.996011,1.002916,-0.006905
AK,KANAKANAK HOSPITAL,1.002916,1.002916,0
AK,MANIILAQ HEALTH CENTER,1.002916,1.002916,0
AK,MAT-SU REGIONAL MEDICAL CENTER,1.093011,1.002916,0.090095
AK,MT EDGECUMBE HOSPITAL,1.002916,1.002916,0
AK,NORTON SOUND REGIONAL HOSPITAL,1.002916,1.002916,0
AK,PEACEHEALTH KETCHIKAN MEDICAL CENTER,1.002916,1.002916,0
AK,PETERSBURG MEDICAL CENTER,1.002916,1.002916,0
AK,PROVIDENCE ALASKA MEDICAL CENTER,0.983196,1.002916,-0.01972
AK,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1.002916,1.002916,0
AK,PROVIDENCE SEWARD HOSPITAL,1.002916,1.002916,0
AK,PROVIDENCE VALDEZ MEDICAL CENTER,1.002916,1.002916,0
AK,SAMUEL SIMMONDS MEMORIAL HOSPITAL,1.002916,1.002916,0
AK,SITKA COMMUNITY HOSPITAL,1.002916,1.002916,0
AK,SOUTH PENINSULA HOSPITAL,1.002916,1.002916,0
AK,WRANGELL MEDICAL CENTER,1.002916,1.002916,0
AK,YUKON KUSKOKWIM DELTA REG HOSPITAL,0.997833,1.002916,-0.005083
AL,ANDALUSIA REGIONAL HOSPITAL,0.952798,0.989032169,-0.036234169
AL,ATHENS LIMESTONE HOSPITAL,1.114897,0.989032169,0.125864831
AL,ATMORE COMMUNITY HOSPITAL,0.97759,0.989032169,-0.011442169
AL,BAPTIST MEDICAL CENTER EAST,0.868433,0.989032169,-0.120599169
AL,BAPTIST MEDICAL CENTER SOUTH,0.854138,0.989032169,-0.134894169
AL,BIBB MEDICAL CENTER,0.996773,0.989032169,0.007740831
AL,BROOKWOOD BAPTIST MEDICAL CENTER,0.95,0.989032169,-0.039032169
AL,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,0.977167,0.989032169,-0.011865169
AL,BULLOCK COUNTY HOSPITAL,0.996297,0.989032169,0.007264831
AL,CALLAHAN EYE HOSPITAL,0.845047,0.989032169,-0.143985169
AL,CHEROKEE MEDICAL CENTER,0.99629,0.989032169,0.007257831
AL,CHILDREN'S HOSPITAL OF ALABAMA,0.989032169,0.989032169,0
AL,CHOCTAW GENERAL HOSPITAL,0.989032169,0.989032169,0
AL,CITIZENS BAPTIST MEDICAL CENTER,0.97,0.989032169,-0.019032169
