Hospital Name,City,State,ZIP Code,County Name,Phone Number,MortalityRanked,PatientRanked,PSIRanked,SpendingRanked
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,90048,LOS ANGELES,3104235000,10,5.93157916143,6.20800834159,4.46647729437
CENTINELA HOSPITAL MEDICAL CENTER,INGLEWOOD,CA,90301,LOS ANGELES,3106734660,9.90274471307,4.21147476278,8.06586424203,4.3545529703
MAIMONIDES MEDICAL CENTER,BROOKLYN,NY,11219,KINGS,7182836000,9.42538140063,3.16292396265,6.22547483084,4.16493439896
NEW YORK-PRESBYTERIAN HOSPITAL,NEW YORK,NY,10065,NEW YORK,2127465454,9.42482080034,5.81038899363,6.63550380866,5.69651855998
OROVILLE HOSPITAL,OROVILLE,CA,95966,BUTTE,5305338500,9.33704265077,3.16445469403,5.64214485484,7.57063198888
HOUSTON METHODIST HOSPITAL,HOUSTON,TX,77030,HARRIS,7137902221,9.22996143798,5.357674788,6.72335772183,6.47319081602
NYU HOSPITALS CENTER,NEW YORK,NY,10016,NEW YORK,2122637300,9.1126411967,5.79543156408,7.26593804791,5.42177474636
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,HOLLYWOOD,CA,90028,LOS ANGELES,3234622271,9.08639940356,2.10247719573,6.85547481198,4.25433903828
METHODIST HOSPITAL OF SOUTHERN CA,ARCADIA,CA,91006,LOS ANGELES,6264454441,9.00532625181,5.72217514768,6.89490338646,5.0211445181
MAIN LINE HOSPITAL LANKENAU,WYNNEWOOD,PA,19096,MONTGOMERY,6106452000,8.93758888066,5.6911669087,6.73213997524,7.32371520138
SHERMAN OAKS HOSPITAL,SHERMAN OAKS,CA,91403,LOS ANGELES,8189817111,8.83804457961,3.38881613733,7.39849214873,4.20456987204
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,PORT JEFFERSON,NY,11777,SUFFOLK,6314731320,8.83175163975,6.7227921964,4.99581756344,6.01832914168
MAYO CLINIC HOSPITAL,PHOENIX,AZ,85054,MARICOPA,4803424201,8.76650581595,7.80422856716,7.07933446097,8.04804690356
FAIRVIEW HOSPITAL,CLEVELAND,OH,44111,CUYAHOGA,2164767000,8.70893572509,5.50422682421,7.62979795752,7.1053053579
MOUNT SINAI MEDICAL CENTER,MIAMI BEACH,FL,33140,MIAMI-DADE,3056742121,8.57077591569,5.37997532603,7.60200774088,5.40434671755
NORTHWESTERN MEMORIAL HOSPITAL,CHICAGO,IL,60611,COOK,3129262000,8.54229689313,5.51002893827,4.79322387353,7.30310666306
"BEAUMONT HOSPITAL, TROY",TROY,MI,48085,OAKLAND,2489648800,8.4161305914,5.04156135693,7.62012662433,6.37390337446
CHESTER COUNTY HOSPITAL,WEST CHESTER,PA,19380,CHESTER,6104315000,8.40845295557,6.67835725924,6.76346531639,6.53889373378
EMORY JOHNS CREEK HOSPITAL,JOHNS CREEK,GA,30097,CHATTOOGA,6784747000,8.31982338912,5.44633740395,7.92729900562,7.57707406012
DESERT VALLEY HOSPITAL,VICTORVILLE,CA,92395,SAN BERNARDINO,7602418000,8.31601204406,4.27130448099,6.13022535777,6.77635212769
HILLCREST HOSPITAL,MAYFIELD HEIGHTS,OH,44124,CUYAHOGA,4403124500,8.26537316591,5.13029108537,7.49746081122,7.36270878329
PROVIDENCE - PROVIDENCE PARK HOSPITAL,SOUTHFIELD,MI,48075,OAKLAND,2488493011,8.24956951962,4.53300875211,5.64021199535,7.61700653117
RIO GRANDE REGIONAL HOSPITAL,MCALLEN,TX,78503,HIDALGO,9566326000,8.20430385132,4.13116556461,6.72250510324,6.65943108968
EVANSTON HOSPITAL,EVANSTON,IL,60201,COOK,8474328000,8.1439799983,5.46515664961,6.8759495343,6.31110133601
"ST FRANCIS HOSPITAL, ROSLYN",ROSLYN,NY,11576,NASSAU,5165626000,8.11337128551,6.55826047131,6.86312611719,4.55295373574
MEMORIAL HERMANN HOSPITAL SYSTEM,HOUSTON,TX,77008,HARRIS,7134486796,8.10369216984,5.41750450621,6.28506477353,5.65413897182
PIEDMONT HOSPITAL,ATLANTA,GA,30309,FULTON,4046055000,8.10014929869,5.55103941082,3.68609890052,6.48620600014
ST LUKES HOSPITAL,CHESTERFIELD,MO,63017,SAINT LOUIS,3144341500,8.05464884237,6.34323492604,5.49443610314,5.68063471572
HUNTINGTON MEMORIAL HOSPITAL,PASADENA,CA,91109,LOS ANGELES,6263975000,8.0363178263,6.38030204804,6.99272626384,6.5117423072
MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,NEW YORK,NY,10003,NEW YORK,2124202000,8.02691997233,4.32960346783,5.78896096858,5.38529237111
ST DAVID'S MEDICAL CENTER,AUSTIN,TX,78705,TRAVIS,5124767111,8.01630583388,5.89614225192,7.13403791227,5.91424479537
ST CLOUD HOSPITAL,SAINT CLOUD,MN,56303,STEARNS,3202512700,7.99109722081,5.54417666094,6.88982735192,6.6852478627
HENRY MAYO NEWHALL  HOSPITAL,VALENCIA,CA,91355,LOS ANGELES,6612538000,7.9814149037,5.43798398617,6.04794430738,6.85404607499
"BEAUMONT HOSPITAL, ROYAL OAK",ROYAL OAK,MI,48073,OAKLAND,2488985000,7.93739702654,4.75737019541,6.77281844158,5.84063013612
PALOS COMMUNITY HOSPITAL,PALOS HEIGHTS,IL,60463,COOK,7089234000,7.93201797321,5.39036950184,6.92658299399,6.2223725962
SAINT VINCENT MEDICAL CENTER,LOS ANGELES,CA,90057,LOS ANGELES,2134847111,7.92893784836,4.79481451536,7.64506004506,5.97081227388
RONALD REAGAN U C L A MEDICAL CENTER,LOS ANGELES,CA,90095,LOS ANGELES,3108256301,7.92579039441,6.88885465286,6.54469198036,5.659586085
ST MARY MEDICAL CENTER INC,HOBART,IN,46342,LAKE,2199420551,7.91980982975,5.01759711896,5.9237137109,6.80323410464
MOUNT SINAI HOSPITAL,NEW YORK,NY,10029,NEW YORK,2122417981,7.90754193506,5.49628297301,6.90243384809,5.5120798851
RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,60612,COOK,3129425000,7.89668967011,5.58481608604,8.01499425788,7.73503997005
MAIN LINE HOSPITAL PAOLI,PAOLI,PA,19301,CHESTER,6106481000,7.88896981796,6.0800600771,6.19388924634,7.18814489335
PLANTATION GENERAL HOSPITAL,PLANTATION,FL,33317,BROWARD,9545875010,7.87560630051,5.21544360094,7.06011827753,5.30278158645
"BEAUMONT HOSPITAL, GROSSE POINTE",GROSSE POINTE,MI,48230,WAYNE,3133431000,7.84567654695,5.68473082773,7.38573036184,6.00142282705
PENN PRESBYTERIAN MEDICAL CENTER,PHILADELPHIA,PA,19104,PHILADELPHIA,2156628000,7.83590605655,5.94544321111,8.00832202064,6.24658433208
MAYO CLINIC HOSPITAL ROCHESTER,ROCHESTER,MN,55902,OLMSTED,5072555123,7.83246483619,7.4886425029,6.93729202442,7.73287755202
CLEAR LAKE REGIONAL MEDICAL CENTER,WEBSTER,TX,77598,HARRIS,2813322511,7.83126023416,4.26578243059,5.08613534292,5.08595975725
