State,Hospital Name,Rating,MortalityRate,Preventability,StateMortAverage,MortDifference,StatePrevAverage,PrevDifference
AK,ALASKA NATIVE MEDICAL CENTER,8.85558499,14.141484,6.3116786,13.94080259,0.200681409,6.270444386,0.041234214
AK,ALASKA REGIONAL HOSPITAL,8.409413618,13.921565,5.33222305,13.94080259,-0.019237591,6.270444386,-0.938221336
AK,BARTLETT REGIONAL HOSPITAL,9.276520168,15.128675,6.18869405,13.94080259,1.187872409,6.270444386,-0.081750336
AK,CENTRAL PENINSULA GENERAL HOSPITAL,9.247729663,14.665763,6.72806015,13.94080259,0.724960409,6.270444386,0.457615764
AK,CORDOVA COMMUNITY MEDICAL CENTER,8.66506983,13.748739,6.29475,13.94080259,-0.192063591,6.270444386,0.024305614
AK,FAIRBANKS MEMORIAL HOSPITAL,8.91527128,14.238244,6.352276,13.94080259,0.297441409,6.270444386,0.081831614
AK,KANAKANAK HOSPITAL,8.66506983,13.748739,6.29475,13.94080259,-0.192063591,6.270444386,0.024305614
AK,MANIILAQ HEALTH CENTER,8.66506983,13.748739,6.29475,13.94080259,-0.192063591,6.270444386,0.024305614
AK,MAT-SU REGIONAL MEDICAL CENTER,9.19397842,14.651851,6.593167,13.94080259,0.711048409,6.270444386,0.322722614
AK,MT EDGECUMBE HOSPITAL,8.66506983,13.748739,6.29475,13.94080259,-0.192063591,6.270444386,0.024305614
AK,NORTON SOUND REGIONAL HOSPITAL,8.50042742,13.398436,6.29475,13.94080259,-0.542366591,6.270444386,0.024305614
AK,PEACEHEALTH KETCHIKAN MEDICAL CENTER,8.64982256,13.716298,6.29475,13.94080259,-0.224504591,6.270444386,0.024305614
AK,PETERSBURG MEDICAL CENTER,8.66506983,13.748739,6.29475,13.94080259,-0.192063591,6.270444386,0.024305614
AK,PROVIDENCE ALASKA MEDICAL CENTER,8.899666458,14.450674,6.02242765,13.94080259,0.509871409,6.270444386,-0.248016736
AK,PROVIDENCE KODIAK ISLAND MEDICAL CTR,8.85570841,14.154353,6.29475,13.94080259,0.213550409,6.270444386,0.024305614
AK,PROVIDENCE SEWARD HOSPITAL,8.66506983,13.748739,6.29475,13.94080259,-0.192063591,6.270444386,0.024305614
AK,PROVIDENCE VALDEZ MEDICAL CENTER,8.66506983,13.748739,6.29475,13.94080259,-0.192063591,6.270444386,0.024305614
AK,SAMUEL SIMMONDS MEMORIAL HOSPITAL,8.66506983,13.748739,6.29475,13.94080259,-0.192063591,6.270444386,0.024305614
AK,SITKA COMMUNITY HOSPITAL,8.66506983,13.748739,6.29475,13.94080259,-0.192063591,6.270444386,0.024305614
AK,SOUTH PENINSULA HOSPITAL,8.48454706,13.364648,6.29475,13.94080259,-0.576154591,6.270444386,0.024305614
AK,WRANGELL MEDICAL CENTER,8.66506983,13.748739,6.29475,13.94080259,-0.192063591,6.270444386,0.024305614
AK,YUKON KUSKOKWIM DELTA REG HOSPITAL,8.49095222,13.378276,6.29475,13.94080259,-0.562526591,6.270444386,0.024305614
AL,ANDALUSIA REGIONAL HOSPITAL,8.029180213,12.537463,6.10449315,14.07270076,-1.535237758,6.466826507,-0.362333357
AL,ATHENS LIMESTONE HOSPITAL,8.819074175,13.99555,6.4033305,14.07270076,-0.077150758,6.466826507,-0.063496007
AL,ATMORE COMMUNITY HOSPITAL,8.425079963,13.284917,6.23191135,14.07270076,-0.787783758,6.466826507,-0.234915157
AL,BAPTIST MEDICAL CENTER EAST,7.77715307,12.156852,5.8955218,14.07270076,-1.915848758,6.466826507,-0.571304707
AL,BAPTIST MEDICAL CENTER SOUTH,9.02374838,13.924011,7.0841806,14.07270076,-0.148689758,6.466826507,0.617354093
AL,BIBB MEDICAL CENTER,8.96151434,14.379472,6.29475,14.07270076,0.306771242,6.466826507,-0.172076507
AL,BROOKWOOD BAPTIST MEDICAL CENTER,8.75698306,13.800948,6.48725,14.07270076,-0.271752758,6.466826507,0.020423493
AL,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,8.571083945,13.577862,6.2556823,14.07270076,-0.494838758,6.466826507,-0.211144207
AL,BULLOCK COUNTY HOSPITAL,8.73642053,13.900549,6.29475,14.07270076,-0.172151758,6.466826507,-0.172076507
AL,CALLAHAN EYE HOSPITAL,8.644350548,13.748739,6.23555205,14.07270076,-0.323961758,6.466826507,-0.231274457
AL,CHEROKEE MEDICAL CENTER,8.99537267,14.451511,6.29475,14.07270076,0.378810242,6.466826507,-0.172076507
AL,CHILDREN'S HOSPITAL OF ALABAMA,8.66506983,13.748739,6.29475,14.07270076,-0.323961758,6.466826507,-0.172076507
AL,CHOCTAW GENERAL HOSPITAL,8.691066,13.80405,6.29475,14.07270076,-0.268650758,6.466826507,-0.172076507
AL,CITIZENS BAPTIST MEDICAL CENTER,8.97702021,14.506293,6.16875,14.07270076,0.433592242,6.466826507,-0.298076507
AL,CLAY COUNTY HOSPITAL,9.04759766,14.562628,6.29475,14.07270076,0.489927242,6.466826507,-0.172076507
AL,COMMUNITY HOSPITAL INC,8.13670148,12.650839,6.259449,14.07270076,-1.421861758,6.466826507,-0.207377507
AL,COOSA VALLEY MEDICAL CENTER,9.19236789,14.692761,6.5336292,14.07270076,0.620060242,6.466826507,0.066802693
