HCUPnet - Hospital Inpatient State Statistics,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Major Diagnostic Categories (MDC) | Major Diagnostic Categories (MDC): Principal Dx Can Not Be Assigned To Mdc (Invalid Or Pre Mdc), Diseases & Disorders Of The Nervous System, Diseases & Disorders Of The Eye, Diseases & Disorders Of The Ear, Nose, Mouth & Throat, Diseases & Disorders Of The Respiratory System, Diseases & Disorders Of The Circulatory System, Diseases & Disorders Of The Digestive System, Diseases & Disorders Of The Hepatobiliary System & Pancreas, Diseases & Disorders Of The Musculoskeletal System & Conn Tissue, Diseases & Disorders Of The Skin, Subcutaneous Tissue & Breast, Endocrine, Nutritional & Metabolic Diseases & Disorders, Diseases & Disorders Of Blood, Blood Forming Organs, Immunolog Disord, Diseases & Disorders Of The Female Reproductive System, Diseases & Disorders Of The Kidney & Urinary Tract, Diseases & Disorders Of The Male Reproductive System, Pregnancy, Childbirth & The Puerperium, Newborns & Other Neonates With Condtn Orig In Perinatal Period, Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasm, Infectious & Parasitic Diseases, Systemic Or Unspecified Sites, Mental Diseases & Disorders, Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders, Injuries, Poisonings & Toxic Effects Of Drugs, Burns, Factors Influencing Hlth Stat & Othr Contacts With Hlth Servcs, Multiple Significant Trauma, Human Immunodeficiency Virus Infections | Outcome and Measures: Number, Length of stay, Died, Discharge status | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2014  Arizona,,,,,,,,,,,,,,,,,
Major Diagnostic Categories (MDC): #0 Principal Dx Can Not Be Assigned To Mdc (Invalid Or Pre Mdc),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Number,,Length of stay,,,,,,,,,,,,,
,,Total number of discharges: N,Percent of discharges,"LOS (length of stay), days (mean)","LOS (length of stay), days (median)",,,,,,,,,,,,
All discharges,,12,100,1.75,1.5,,,,,,,,,,,,
Age group,<1,*,*,*,*,,,,,,,,,,,,
,18-44,*,*,*,*,,,,,,,,,,,,
,45-64,*,*,*,*,,,,,,,,,,,,
,Missing,*,*,*,*,,,,,,,,,,,,
Sex,Male,*,*,*,*,,,,,,,,,,,,
,Female,*,*,*,*,,,,,,,,,,,,
,Missing,*,*,*,*,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,,,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2014  Arizona,,,,,,,,,,,,,,,,,
Major Diagnostic Categories (MDC): #1 Diseases & Disorders Of The Nervous System,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Number,,Length of stay,,,,,,,,,,,,,
,,Total number of discharges: N,Percent of discharges,"LOS (length of stay), days (mean)","LOS (length of stay), days (median)",,,,,,,,,,,,
All discharges,,44013,100,4.3638470452,3,,,,,,,,,,,,
Age group,<1,633,1.4382114375,5.2069510269,2,,,,,,,,,,,,
,1-17,3166,7.1933292436,3.8408085913,2,,,,,,,,,,,,
,18-44,8004,18.1855360916,4.2407546227,3,,,,,,,,,,,,
,45-64,12164,27.6372889828,4.7093883591,3,,,,,,,,,,,,
