,Hospital Name,City,State,ZIP Code,County Name,Phone Number,MortalityRanked,PatientRanked,PSIRanked,SpendingRanked,TotalRanking,TotalRankingReranked
0,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,99508,ANCHORAGE,9075632662,4.96947595554,5.12553990199,5.36322232546,8.19120081645,5.40923437704,4.64629629099
1,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,5.97185562793,5.14049733155,6.64359361494,6.88391570328,5.85206297237,5.53372910138
2,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,99508,ANCHORAGE,9075622211,4.87044143725,5.5742627886,6.45866265754,7.4714621047,5.63270969379,5.09414299847
3,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,99559,BETHEL,9075436300,5.78866898106,4.43749814253,6.36039668704,8.67650648724,5.65652282312,5.14186474117
4,KANAKANAK HOSPITAL,DILLINGHAM,AK,99576,DILLINGHAM,9078425201,5.39749203958,4.79647645182,6.32627180298,5.92591555315,5.36427051003,4.55618826435
5,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,9074528181,4.83538325595,6.02298567521,6.37262874267,8.32879792311,5.8606624529,5.55096254395
6,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,99801,JUNEAU,9077968900,4.02379254479,6.48666599137,6.47508395725,8.01464413622,5.71414895827,5.25734807626
7,PEACEHEALTH KETCHIKAN MEDICAL CENTER,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,9072255171,5.43174693455,6.11273025253,6.32627180298,7.50276488347,6.02839620395,5.88710261183
8,PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,99615,KODIAK ISLAND,9074869592,4.9691986771,7.45889891235,6.32627180298,6.8654493158,6.29602229807,6.42342790641
9,MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,99645,MATANUSKA SUSITNA,9078616000,4.20923288211,5.40973106351,5.72141612133,8.65736450022,5.33106034783,4.48963477641
10,NORTON SOUND REGIONAL HOSPITAL,NOME,AK,99762,NOME,9074433311,5.76738176171,5.42468849306,6.32627180298,7.78403949266,5.92437106525,5.67863522251
11,MANIILAQ HEALTH CENTER,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,9074423321,5.39749203958,4.79647645182,6.32627180298,5.92591555315,5.36427051003,4.55618826435
12,MT EDGECUMBE HOSPITAL,SITKA,AK,99835,SITKA,9079662411,5.39749203958,4.79647645182,6.32627180298,5.92591555315,5.36427051003,4.55618826435
13,SITKA COMMUNITY HOSPITAL,SITKA,AK,99835,SITKA,9077473241,5.39749203958,7.20462260994,6.32627180298,5.92591555315,6.26732531933,6.365918882
14,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,99669,,9072624404,4.08847400745,5.02083789512,6.25212084006,7.47866849981,5.10167693945,4.02994819588
15,CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,99574,,9074248000,5.39749203958,4.79647645182,6.32627180298,5.92591555315,5.36427051003,4.55618826435
16,PETERSBURG MEDICAL CENTER,PETERSBURG,AK,99833,,9077724291,5.39749203958,4.79647645182,6.32627180298,5.92591555315,5.36427051003,4.55618826435
17,PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,99664,,9072245205,5.39749203958,4.79647645182,6.32627180298,5.92591555315,5.36427051003,4.55618826435
18,PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,99686,,9078352249,5.39749203958,4.79647645182,6.32627180298,5.92591555315,5.36427051003,4.55618826435
19,SAMUEL SIMMONDS MEMORIAL HOSPITAL,BARROW,AK,99723,,9078524611,5.39749203958,4.79647645182,6.32627180298,5.92591555315,5.36427051003,4.55618826435
20,SOUTH PENINSULA HOSPITAL,HOMER,AK,99603,,9072358101,5.80305897239,6.59136799824,6.32627180298,7.68968075667,6.3658189601,6.5633010957
21,WRANGELL MEDICAL CENTER,WRANGELL,AK,99929,,9078747000,5.39749203958,4.79647645182,6.32627180298,5.92591555315,5.36427051003,4.55618826435
22,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,36067,AUTAUGA,3343614267,5.96785165569,5.62595632252,6.39394534193,6.99326631481,6.0060964246,5.8424136372
23,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,36507,BALDWIN,2519375521,4.8081527329,6.46357237751,6.35203276053,8.56741324683,6.03644315517,5.90322878031
24,SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,36535,BALDWIN,2519493400,5.8840430248,6.28408322287,6.13247340416,6.92683235987,6.17560158949,6.18210363563
25,THOMAS HOSPITAL,FAIRHOPE,AL,36532,BALDWIN,2519282375,5.99844352441,5.71570089984,7.18571247296,6.91759916614,6.16242094665,6.15568949924
26,MEDICAL CENTER BARBOUR,EUFAULA,AL,36027,BARBOUR,3346887271,6.31439367777,5.94006234314,6.04384135233,8.75320312079,6.37731752277,6.58634432709
27,BIBB MEDICAL CENTER,CENTREVILLE,AL,35042,BIBB,2059264881,5.02518445669,5.77553061805,6.27430348497,8.14989273006,5.80640294878,5.44222597017
