,Hospital Name,City,State,ZIP Code,County Name,Phone Number,MortalityRanked,PatientRanked,PSIRanked,SpendingRanked,TotalRanking,TotalRankingReranked
0,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,99508,ANCHORAGE,9075632662,4.96947595554,5.12553990199,5.36322232546,8.19120081645,3.48715691379,5.17717844008
1,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,5.97185562793,5.14049733155,6.64359361494,6.88391570328,3.92437647304,6.3037605352
2,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,99508,ANCHORAGE,9075622211,4.87044143725,5.5742627886,6.45866265754,7.4714621047,3.54236114807,5.3194229957
3,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,99559,BETHEL,9075436300,5.78866898106,4.43749814253,6.36039668704,8.67650648724,3.99246101968,6.4791937462
4,KANAKANAK HOSPITAL,DILLINGHAM,AK,99576,DILLINGHAM,9078425201,5.39749203958,4.79647645182,6.32627180298,5.92591555315,3.5655918406,5.37928143915
5,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,9074528181,4.83538325595,6.02298567521,6.37262874267,8.32879792311,3.60204282469,5.4732045612
6,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,99801,JUNEAU,9077968900,4.02379254479,6.48666599137,6.47508395725,8.01464413622,3.28164921151,4.64764746896
7,PEACEHEALTH KETCHIKAN MEDICAL CENTER,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,9072255171,5.43174693455,6.11273025253,6.32627180298,7.50276488347,3.73612235925,5.81868682465
8,PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,99615,KODIAK ISLAND,9074869592,4.9691986771,7.45889891235,6.32627180298,6.8654493158,3.49893520594,5.20752752389
9,MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,99645,MATANUSKA SUSITNA,9078616000,4.20923288211,5.40973106351,5.72141612133,8.65736450022,3.30241119901,4.70114480889
10,NORTON SOUND REGIONAL HOSPITAL,NOME,AK,99762,NOME,9074433311,5.76738176171,5.42468849306,6.32627180298,7.78403949266,3.89011288035,6.21547365686
11,MANIILAQ HEALTH CENTER,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,9074423321,5.39749203958,4.79647645182,6.32627180298,5.92591555315,3.5655918406,5.37928143915
12,MT EDGECUMBE HOSPITAL,SITKA,AK,99835,SITKA,9079662411,5.39749203958,4.79647645182,6.32627180298,5.92591555315,3.5655918406,5.37928143915
13,SITKA COMMUNITY HOSPITAL,SITKA,AK,99835,SITKA,9077473241,5.39749203958,7.20462260994,6.32627180298,5.92591555315,3.5655918406,5.37928143915
14,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,99669,,9072624404,4.08847400745,5.02083789512,6.25212084006,7.47866849981,3.21886272879,4.48586576054
15,CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,99574,,9074248000,5.39749203958,4.79647645182,6.32627180298,5.92591555315,3.5655918406,5.37928143915
16,PETERSBURG MEDICAL CENTER,PETERSBURG,AK,99833,,9077724291,5.39749203958,4.79647645182,6.32627180298,5.92591555315,3.5655918406,5.37928143915
17,PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,99664,,9072245205,5.39749203958,4.79647645182,6.32627180298,5.92591555315,3.5655918406,5.37928143915
18,PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,99686,,9078352249,5.39749203958,4.79647645182,6.32627180298,5.92591555315,3.5655918406,5.37928143915
19,SAMUEL SIMMONDS MEMORIAL HOSPITAL,BARROW,AK,99723,,9078524611,5.39749203958,4.79647645182,6.32627180298,5.92591555315,3.5655918406,5.37928143915
20,SOUTH PENINSULA HOSPITAL,HOMER,AK,99603,,9072358101,5.80305897239,6.59136799824,6.32627180298,7.68968075667,3.89405596076,6.22563377822
21,WRANGELL MEDICAL CENTER,WRANGELL,AK,99929,,9078747000,5.39749203958,4.79647645182,6.32627180298,5.92591555315,3.5655918406,5.37928143915
22,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,36067,AUTAUGA,3343614267,5.96785165569,5.62595632252,6.39394534193,6.99326631481,3.89636280365,6.23157781216
23,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,36507,BALDWIN,2519375521,4.8081527329,6.46357237751,6.35203276053,8.56741324683,3.6126035136,5.50041625103
24,SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,36535,BALDWIN,2519493400,5.8840430248,6.28408322287,6.13247340416,6.92683235987,3.81907038091,6.03241869929
25,THOMAS HOSPITAL,FAIRHOPE,AL,36532,BALDWIN,2519282375,5.99844352441,5.71570089984,7.18571247296,6.91759916614,4.01903310921,6.54766195552
26,MEDICAL CENTER BARBOUR,EUFAULA,AL,36027,BARBOUR,3346887271,6.31439367777,5.94006234314,6.04384135233,8.75320312079,4.14979414409,6.88459345257
27,BIBB MEDICAL CENTER,CENTREVILLE,AL,35042,BIBB,2059264881,5.02518445669,5.77553061805,6.27430348497,8.14989273006,3.64057896701,5.5725005031
28,ST VINCENTS BLOUNT,ONEONTA,AL,35121,BLOUNT,2052743000,5.87917785769,6.31399808198,6.51515145188,6.33861035887,3.8158254503,6.02405749805
29,BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,36089,BULLOCK,3347382140,5.53088579352,6.11955149778,6.27749912628,7.93685367458,3.80939240897,6.00748150315
30,GEORGIANA MEDICAL CENTER,GEORGIANA,AL,36033,BUTLER,3343762205,5.73959979898,7.48067758716,6.2928999691,8.0857107736,3.90485599734,6.25346219437
31,L V STABLER MEMORIAL HOSPITAL,GREENVILLE,AL,36037,BUTLER,3343822200,6.15434751912,6.55331695484,6.57171967402,7.12523342525,4.0061616133,6.51449601743
32,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,36207,CALHOUN,2562355121,4.47376347385,4.83321255618,4.34421669182,5.73710156683,2.90300396315,3.67199359398
33,RMC JACKSONVILLE,JACKSONVILLE,AL,36265,CALHOUN,2567824538,5.25276024783,5.13236114725,6.28192334399,7.57000312353,3.66907390689,5.6459233141
34,STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,36201,CALHOUN,2562358900,6.54003176625,4.48919167645,6.15256029244,5.80939071779,3.95633502799,6.38610803093
35,CHEROKEE MEDICAL CENTER,CENTRE,AL,35960,CHEROKEE,2569275531,4.94911749268,6.34391294109,6.27754612101,7.86906852056,3.58445782996,5.42789336735
36,ST VINCENT'S CHILTON,CLANTON,AL,35045,CHILTON,2054927008,5.69118404594,4.17508565582,6.32627180298,6.10935691439,3.69407047911,5.71033189352
37,CHOCTAW GENERAL HOSPITAL,BUTLER,AL,36904,CHOCTAW,2054599100,5.6327804056,4.17508565582,6.32627180298,7.44141401076,3.80537482362,5.99712940517
38,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,36451,CLARKE,2512753191,5.6036498596,5.80544547716,6.29151026794,7.8539801308,3.83049325062,6.06185196736
39,JACKSON MEDICAL CENTER,JACKSON,AL,36545,CLARKE,2512469021,5.09862430752,6.47852980707,6.27131596315,8.16227872166,3.66890938196,5.64549938329
40,CLAY COUNTY HOSPITAL,ASHLAND,AL,36251,CLAY,2563542131,4.83178753475,5.71570089984,6.3115300209,8.43071693956,3.60172152262,5.47237666329
41,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,36330,COFFEE,3343470584,4.29059895061,4.71355311975,6.74225681843,6.86422680234,3.30673580948,4.71228801741
42,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,COLBERT,2563864556,4.82797227157,5.40159487921,6.58831552557,5.92987263606,3.39172419428,4.93127728856
43,SHOALS HOSPITAL,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,5.22755722323,5.37168002011,6.20713459552,6.07264933929,3.49866908197,5.20684180319
44,EVERGREEN MEDICAL CENTER,EVERGREEN,AL,36401,CONECUH,2515782480,6.11675209526,5.55116917475,6.31592067094,8.32960220815,4.07413035718,6.68963083988
45,ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,36420,COVINGTON,3342228466,7.11978943336,4.6985956902,6.56953106253,7.36709806118,4.39206050301,7.50884032448
46,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,3344933541,3.5713060623,5.92510491359,6.6100203751,6.83742802049,3.01448563168,3.95924801579
